Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
53 MS1053,EFT,0.5333699,0.533369863,30,IP30,57.04,"I am living in my new house and look forward to getting it together befor March 19, 2016. Tome it is spring cleaning time.I'm very excited to have the chance to finally do this.","I am living in my new house and look forward to getting it together before March 19, 2016. Tome it is spring cleaning time.I'm very excited to have the chance to finally do this.",35,44.59,28.39,98.59,78.19,17.5,17.14,91.43,54.29,17.14,8.57,8.57,0,0,0,0,8.57,2.86,14.29,14.29,5.71,2.86,0,25.71,8.57,2.86,0,5.71,0,2.86,2.86,0,0,0,0,2.86,0,0,0,0,2.86,0,0,0,2.86,0,0,2.86,2.86,0,0,2.86,0,2.86,0,0,8.57,2.86,0,0,5.71,0,0,17.14,0,25.71,2.86,8.57,17.14,0,0,2.86,0,0,0,0,0,0,0,0,0,14.29,8.57,2.86,0,0,0,0,0,0,2.86,0,0
93 MS1093,ERT,0.6416164,0.641616438,180,IP180,24.22,"About 144 hours ago I was helping the cub scouts build their pinewood derby cars at the Church.Painting the Cars was a fun mess, but brought detail to the cars.We are getting ready for the upcoming race at the end of the month.We are all excited to see our creations race down the lanes to victory.","About 144 hours ago I was helping the cub scouts build their pinewood derby cars at the Church.Painting the Cars was a fun mess, but brought detail to the cars.We are getting ready for the upcoming race at the end of the month.We are all excited to see our creations race down the lanes to victory.",59,99,84.55,24.96,99,59,15.25,76.27,47.46,8.47,8.47,1.69,5.08,0,0,1.69,0,15.25,15.25,6.78,1.69,1.69,0,11.86,3.39,0,0,1.69,1.69,10.17,8.47,1.69,0,0,0,8.47,0,0,0,0,5.08,0,1.69,0,0,1.69,1.69,1.69,1.69,0,0,0,0,0,0,0,15.25,6.78,3.39,3.39,5.08,0,6.78,5.08,1.69,13.56,1.69,5.08,6.78,0,1.69,0,0,1.69,0,0,0,0,0,0,0,8.47,6.78,1.69,0,0,0,0,0,0,0,0,0
137 MS1137,ERT,0.5663288,0.566328767,365,IP365,69.54,About 288 hours ago I was at Katie's house. I was helping her finish packing up the house while we caught up. It was nice to chit chat because I hadn't seen her in a while.,About 288 hours ago I was at Katie's house. I was helping her finish packing up the house while we caught up. It was nice to chit chat because I hadn't seen her in a while.,36,46.37,71.09,94.42,98.27,12,8.33,88.89,61.11,19.44,16.67,8.33,2.78,0,5.56,0,2.78,5.56,16.67,11.11,2.78,8.33,2.78,19.44,2.78,0,0,2.78,0,5.56,5.56,0,0,0,0,13.89,0,0,5.56,0,2.78,0,2.78,0,0,0,0,2.78,2.78,0,0,0,0,0,0,0,11.11,5.56,0,5.56,0,0,19.44,0,0,27.78,2.78,11.11,13.89,0,2.78,5.56,0,0,0,0,0,0,0,0,0,13.89,8.33,0,0,0,0,0,0,0,5.56,0,0
2 MS1002,EFT,0.8967123,0.9922,180,IP180,89.84,"I 5 mins the I will be at the July 4th fire works show in Roswell. I will be with my husband seeing a great show, eating great barbecue and having great fun with friends.Enjoying the beer.","In 5 mins I will be at the July 4th fireworks show in Roswell. I will be with my husband seeing a great show, eating great barbecue and having great fun with friends.Enjoying the beer.",36,90.27,39.05,39.76,99,18,16.67,83.33,47.22,8.33,8.33,8.33,0,0,0,0,0,8.33,13.89,13.89,0,2.78,0,19.44,11.11,0,0,2.78,0,13.89,13.89,0,0,0,0,5.56,2.78,2.78,0,2.78,0,0,0,0,0,0,0,8.33,8.33,0,0,5.56,0,0,0,5.56,13.89,5.56,0,0,8.33,0,0,5.56,5.56,11.11,0,8.33,2.78,0,5.56,0,0,0,0,0,0,0,0,0,0,11.11,8.33,2.78,0,0,0,0,0,0,0,0,0
22 MS1022,EFT,0.2722466,0.75,180,IP180,24.22,"In the first week of July, I will be going to The race in Daytona Beach. I am sitting right in front of the start finish line with my brother-in-law ans niece. We are cheering as the cars stream by in the lights, the crowd is deafening as the cars race toward the finish line. I wave my favorite driver's hat in the air as he takes the checkered flag. I am so excited that he won the race!!","In the first week of July, I will be going to the race in Daytona Beach. I am sitting right in front of the start finish line with my brother-in-law and niece. We are cheering as the cars stream by in the lights, the crowd is deafening as the cars race toward the finish line. I wave my favorite driver's hat in the air as he takes the checkered flag. I am so excited that he won the race!!",80,96.1,59.88,90.16,88.96,16,11.25,83.75,53.75,12.5,11.25,7.5,1.25,0,2.5,0,1.25,13.75,17.5,7.5,1.25,6.25,0,16.25,6.25,3.75,0,1.25,0,3.75,3.75,0,0,0,0,8.75,3.75,0,1.25,3.75,0,0,0,0,0,0,0,2.5,1.25,1.25,0,1.25,0,1.25,0,0,7.5,2.5,2.5,0,3.75,0,1.25,8.75,2.5,23.75,2.5,12.5,8.75,0,1.25,0,0,0,0,0,0,0,0,0,0,13.75,5,2.5,0,0,0,2.5,2.5,0,1.25,0,0
26 MS1026,EFT,0.9399452,0.59375,30,IP30,97.66,"In one month I am traveling to Louisiana for a weekend gaming tournament.I am traveling with my friends Khieu, Mike, and Jay. We are in a very nice hotel ballroom and see many friends we come in contact a few times per year.We are enjoying the culture of Baton Rouge and along with it some amazing Cajun food.","In one month I am traveling to Louisiana for a weekend gaming tournament.I am traveling with my friends Khieu, Mike, and Jay. We are in a very nice hotel ballroom and see many friends we come in contact a few times per year.We are enjoying the culture of Baton Rouge and along with it some amazing Cajun food.",60,89.57,87.83,54.43,96.76,30,20,83.33,46.67,11.67,10,5,5,0,0,0,1.67,6.67,15,6.67,1.67,5,0,13.33,5,0,0,1.67,5,5,5,0,0,0,0,11.67,0,5,0,0,1.67,0,0,0,1.67,0,0,1.67,1.67,0,0,1.67,0,0,0,1.67,8.33,8.33,0,0,0,0,0,10,0,16.67,5,5,6.67,0,8.33,0,0,0,0,0,0,0,0,0,0,10,6.67,3.33,0,0,0,0,0,0,0,0,0
29 MS1029,EFT,0.5934521,0.957025,180,IP180,69.54,In about 6 months I am at Six Flags Great America.I am there with my sister and my mom. We are at the water park.We are in inner tubes in the lazy river.It is relaxing and not crowded.We are all happy and having fun.We are spending our time chatting about our lives and eating snacks.,In about 6 months I am at Six Flags Great America.I am there with my sister and my mom. We are at the water park.We are in inner tubes in the lazy river.It is relaxing and not crowded.We are all happy and having fun.We are spending our time chatting about our lives and eating snacks.,60,29.88,95.2,54.43,96.76,30,8.33,90,58.33,18.33,16.67,6.67,10,0,0,0,1.67,3.33,13.33,13.33,5,6.67,1.67,18.33,5,0,0,3.33,1.67,8.33,6.67,1.67,0,0,0,16.67,3.33,0,3.33,0,3.33,0,0,0,0,1.67,1.67,0,0,0,0,6.67,0,1.67,0,5,16.67,13.33,1.67,0,1.67,0,0,13.33,0,13.33,0,10,3.33,0,5,0,1.67,0,0,0,0,0,0,0,0,11.67,11.67,0,0,0,0,0,0,0,0,0,0
38 MS1038,EFT,0.9653425,0.965342466,180,IP180,99.22,"In about 6 months, I am at a family reunion with my side of the family. All 10 siblings are here with their families for the first time in years. We are at my parents cabin in Utah. Today we are having our annual family olympics with sports/intellectual/goofy challenges. It is crazy because everyone gets really into it and there is always a lot of laughter. I am so happy to finally be with everyone after living so far away from them.","In about 6 months, I am at a family reunion with my side of the family. All 10 siblings are here with their families for the first time in years. We are at my parents’ cabin in Utah. Today we are having our annual family Olympics with sports/intellectual/goofy challenges. It is crazy because everyone gets really into it and there is always a lot of laughter. I am so happy to finally be with everyone after living so far away from them.",84,71.27,90.47,85.62,87.2,14,14.29,92.86,61.9,15.48,10.71,4.76,3.57,0,0,2.38,4.76,4.76,21.43,10.71,8.33,4.76,0,13.1,4.76,1.19,0,3.57,2.38,5.95,4.76,1.19,0,0,0,15.48,7.14,0,0,0,8.33,0,1.19,0,1.19,4.76,1.19,1.19,0,1.19,0,1.19,0,1.19,0,0,15.48,11.9,2.38,0,1.19,0,0,11.9,0,21.43,0,10.71,10.71,1.19,5.95,4.76,0,0,0,0,0,0,0,0,0,11.9,7.14,1.19,0,0,0,0,0,0,1.19,0,2.38
29 MS1029,EFT,0.5934521,0.690425,365,IP365,24.22,"In about 1 year I am at my parents' house celebrating Christmas.I am with my mom, dad, sister, and grandparents.I am cooking and eating turkey and mashed potatoes.I am baking cookies andlistening to Christmas Carols.It is snowing and I am wearing a Christmas sweater.We are laughing and eating together.I am happy.","In about 1 year I am at my parents' house celebrating Christmas.I am with my mom, dad, sister, and grandparents.I am cooking and eating turkey and mashed potatoes.I am baking cookies and listening to Christmas Carols.It is snowing and I am wearing a Christmas sweater.We are laughing and eating together.I am happy.",58,19.96,63.49,79.12,85.87,58,25.86,91.38,51.72,17.24,15.52,13.79,1.72,0,0,0,1.72,1.72,8.62,13.79,1.72,10.34,0,20.69,1.72,0,0,1.72,0,3.45,3.45,0,0,0,0,15.52,8.62,0,3.45,3.45,0,0,0,0,0,0,0,3.45,0,3.45,0,13.79,3.45,0,0,10.34,8.62,8.62,1.72,0,0,0,0,13.79,0,12.07,0,5.17,6.9,0,5.17,3.45,0,5.17,0,0,0,0,0,0,0,18.97,12.07,5.17,0,0,0,0,0,0,1.72,0,0
74 MS1074,ERT,0.4569589,0.456958904,30,IP30,49.22,"About 24 hours ago I was getting my 18 month old ready for bed. I was giving him a bath and then reading him several bed-time stories before putting him down for the night. I was very excited when he finally decided to tell me ""night night"" before leaving the room.","About 24 hours ago I was getting my 18 month old ready for bed. I was giving him a bath and then reading him several bed-time stories before putting him down for the night. I was very excited when he finally decided to tell me ""night"" before leaving the room.",51,59.32,65.27,99,98.87,17,17.65,96.08,52.94,17.65,17.65,9.8,0,0,7.84,0,0,5.88,13.73,5.88,7.84,5.88,0,17.65,5.88,3.92,1.96,3.92,1.96,5.88,5.88,0,0,0,0,13.73,0,0,0,7.84,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,3.92,0,9.8,1.96,1.96,31.37,3.92,3.92,23.53,0,1.96,7.84,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,0,0,1.96,3.92,0,0,0
99 MS1099,ERT,0.9006575,0.900657534,365,IP365,89.84,"About 288 hours ago I was having a Super Bowl party.I was excited for the game, the commercials, and the chicken nacho dip that I was making and the buffalo wings and beer that Bernie and Ryan were bringing over for the game.I was really looking forward to having a few beers and relaxing with my friends.","About 288 hours ago I was having a Super Bowl party.I was excited for the game, the commercials, and the chicken nacho dip that I was making and the Buffalo wings and beer that Bernie and Ryan were bringing over for the game.I was really looking forward to having a few beers and relaxing with my friends.",59,70.13,36.73,34.72,99,59,15.25,84.75,55.93,11.86,8.47,8.47,0,0,0,0,3.39,11.86,10.17,11.86,3.39,8.47,0,16.95,5.08,0,0,1.69,1.69,6.78,6.78,0,0,0,0,6.78,0,1.69,0,0,3.39,0,1.69,0,0,0,1.69,1.69,1.69,0,0,3.39,0,0,0,3.39,11.86,6.78,1.69,1.69,1.69,0,10.17,0,0,8.47,3.39,3.39,5.08,1.69,10.17,0,0,0,0,0,0,0,0,0,0,8.47,5.08,3.39,0,0,0,0,0,0,0,0,0
148 MS1148,ERT,0.1414521,0.141452055,30,IP30,24.22,"About 24 hours ago, I was watching an episode of one of my favorite TV shows, WWE Monday Night Raw, with my best friend, John. We heard a rumor that something big was going to happen on the show, so we wanted to make sure we recorded our reactions to it. There was a big twist at the beginning of the show that made me feel very excited and confused at the same time.","About 24 hours ago, I was watching an episode of one of my favorite TV shows, WWE Monday Night Raw, with my best friend, John. We heard a rumor that something big was going to happen on the show, so we wanted to make sure we recorded our reactions to it. There was a big twist at the beginning of the show that made me feel very excited and confused at the same time.",74,88.61,82.79,62.88,91.56,24.67,12.16,93.24,50,16.22,10.81,5.41,5.41,0,0,0,5.41,9.46,14.86,4.05,5.41,2.7,0,16.22,9.46,2.7,0,2.7,0,6.76,5.41,1.35,1.35,0,0,9.46,0,1.35,0,0,10.81,1.35,4.05,1.35,2.7,1.35,0,8.11,5.41,1.35,1.35,0,0,0,0,0,12.16,6.76,1.35,4.05,2.7,0,9.46,4.05,1.35,17.57,2.7,6.76,8.11,0,1.35,0,0,0,0,0,0,0,0,0,0,10.81,4.05,6.76,0,0,0,0,0,0,0,0,0
78 MS1078,ERT,0.6333151,0.633315069,180,IP180,49.22,"About 144 hours ago I was at my brother Dale's house visiting with him and his new baby. It was a Sunday afternoon that was completely beautiful with a crisp breeze outside. My husband and I had gone over to visit. I was holding the baby, trying to put him to sleep as my brother and husband played a video game. The baby kept waking up and wanting to play with everyone. He couldn't stop giggling and trying to roll away from me.","About 144 hours ago I was at my Brother Dale's house visiting with him and his new baby. It was a Sunday afternoon that was completely beautiful with a crisp breeze outside. My husband and I had gone over to visit. I was holding the baby, trying to put him to sleep as my brother and husband played a video game. The baby kept waking up and wanting to play with everyone. He couldn't stop giggling and trying to roll away from me.",83,79.05,80.04,46.55,96.07,13.83,16.87,93.98,56.63,16.87,13.25,8.43,0,0,4.82,0,3.61,6.02,19.28,7.23,2.41,7.23,1.2,18.07,4.82,1.2,0,1.2,0,4.82,4.82,0,0,0,0,18.07,8.43,0,0,9.64,7.23,0,0,2.41,2.41,2.41,0,2.41,2.41,0,0,1.2,1.2,0,0,0,12.05,6.02,2.41,2.41,0,1.2,10.84,0,0,19.28,6.02,6.02,7.23,0,4.82,1.2,0,0,0,0,0,0,0,0,0,10.84,7.23,1.2,0,0,0,0,0,0,2.41,0,0
107 MS1107,ERT,0.8122192,0.812219178,30,IP30,77.34,"Twenty-four hours ago I was at a church that is being held in at the Homer Cole Senior Citizens Center, only four blocks away from my apartment complex.The church, Arma Family Christian Center, is one I usually have to drive ten miles to attend, but for awhile the pastor has decided to have evening services here.That is great for me right now because my car is not running. I liked being here because the worship leader, the pastor's son, plays acoustic guitar has a style that I enjoy.Also,I always enjoy the preacher because he is both positive and truthful.He is also humorous.There are maybe fifteen others here besides me. I feel comfortable being in Homer Cole because I have been here for many other events.","Twenty-four hours ago I was at a church that is being held in at the Homer Cole Senior Citizens Center, only four blocks away from my apartment complex.The church,Arma Family Christian Center, is one I usually have to drive ten miles to attend, but for a while the pastor has decided to have evening services here.That is great for me right now because my car is not running. I liked being here because the worship leader, the pastor's son, plays acoustic guitar has a style that I enjoy.Also, I always enjoy the preacher because he is both positive and truthful.He is also humorous.There are maybe fifteen others here besides me. I feel comfortable being in Homer Cole because I have been here for many other events.",133,37.09,22.61,87.22,99,44.33,18.05,93.23,57.14,13.53,9.77,8.27,0,0,1.5,0,3.76,6.77,9.77,12.78,8.27,6.77,0.75,16.54,3.01,0,0,4.51,1.5,7.52,7.52,0,0,0,0,4.51,1.5,0,0,2.26,12.78,2.26,3.01,0.75,1.5,2.26,3.01,0.75,0,0,0.75,0,0,0,0,0,6.02,2.26,0.75,2.26,1.5,0,3.76,11.28,0,16.54,3.01,7.52,6.02,2.26,3.01,1.5,0,5.26,0,0,0,0,0,0,0,12.78,6.02,5.26,0,0,0,0,0.75,0,0.75,0,0
90 MS1090,ERT,0.1308493,0.130849315,180,IP180,8.6,About 144 hours ago I was watching a movie with my boyfriend. We were sitting at home watching the movie Sicario. I was interested in the film and excited to have a relaxing night in with him. I was paying attention to the plot of the movie and looking forward to discussing it afterwards.,About 144 hours ago I was watching a movie with my boyfriend. We were sitting at home watching the movie Sicario. I was interested in the film and excited to have a relaxing night in with him. I was paying attention to the plot of the movie and looking forward to discussing it afterwards.,54,94.82,57.35,69.58,98.27,13.5,24.07,94.44,55.56,12.96,11.11,7.41,1.85,0,1.85,0,1.85,11.11,18.52,9.26,1.85,3.7,0,16.67,1.85,0,0,1.85,0,5.56,5.56,0,0,0,0,7.41,0,1.85,0,3.7,1.85,1.85,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,5.56,3.7,0,0,1.85,0,9.26,1.85,0,16.67,1.85,9.26,9.26,1.85,9.26,1.85,1.85,0,0,0,0,0,0,0,0,7.41,7.41,0,0,0,0,0,0,0,0,0,0
20 MS1020,EFT,0.9894795,0.937475,180,IP180,99.22,"In about 6 months I am standing outside on a cliff in Denver, watching my friends get married. I am sitting next to my husband and we are holding hands. I can feel the cool Denver mountain air on my face. The music is soft and vivid. I feel their excitement and love around me.","In about 6 months I am standing outside on a cliff in Denver, watching my friends get married. I am sitting next to my husband and we are holding hands. I can feel the cool Denver mountain air on my face. The music is soft and vivid. I feel their excitement and love around me.",55,62.84,42.78,99,98.09,11,18.18,87.27,52.73,18.18,18.18,14.55,1.82,0,0,1.82,0,5.45,14.55,9.09,3.64,5.45,0,16.36,5.45,0,0,1.82,0,5.45,5.45,0,0,0,0,10.91,3.64,1.82,0,1.82,3.64,3.64,0,0,0,0,0,14.55,3.64,1.82,9.09,5.45,3.64,0,0,0,12.73,9.09,0,0,3.64,0,0,14.55,0,18.18,0,14.55,3.64,0,1.82,0,0,0,0,1.82,0,0,1.82,0,0,10.91,9.09,1.82,0,0,0,0,0,0,0,0,0
58 MS1058,EFT,0.7555616,0.755561644,30,IP30,99.22,I am in Philips Arena watching the Hawks play the Magic with my brother Thomas. The crowd roars around me as an amazing dunk is made. I am on my feet as the game continues.,I am in Philips Arena watching the Hawks play the Magic with my brother Thomas. The crowd roars around me as an amazing dunk is made. I am on my feet as the game continues.,35,93.26,28.39,78.4,98.56,11.67,14.29,80,54.29,14.29,14.29,14.29,0,0,0,0,0,14.29,17.14,8.57,2.86,5.71,0,14.29,8.57,5.71,0,0,0,5.71,5.71,0,0,0,0,8.57,2.86,0,0,2.86,2.86,0,2.86,0,0,0,0,2.86,2.86,0,0,2.86,2.86,0,0,0,5.71,5.71,0,0,0,0,2.86,11.43,0,11.43,0,8.57,2.86,0,5.71,0,0,0,0,0,0,0,0,0,0,8.57,8.57,0,0,0,0,0,0,0,0,0,0
47 MS1047,EFT,0.6820822,0.682082192,180,IP180,64.84,In about 6 months I am at our local county fair. I am with my family and we are enjoying the games and rides together. We are eating great fair food. We are spending the whole day here and it is a lot of fun!,In about 6 months I am at our local county fair. I am with my family and we are enjoying the games and rides together. We are eating great fair food. We are spending the whole day here and it is a lot of fun!,45,40.14,96.21,71.7,99,11.25,6.67,97.78,57.78,17.78,15.56,6.67,8.89,0,0,0,2.22,6.67,11.11,13.33,4.44,6.67,0,17.78,8.89,0,0,2.22,4.44,11.11,11.11,0,0,0,0,15.56,2.22,0,0,0,2.22,0,0,0,2.22,0,0,0,0,0,0,4.44,0,0,0,4.44,17.78,15.56,0,0,2.22,0,0,13.33,0,17.78,2.22,11.11,4.44,0,6.67,2.22,2.22,0,0,0,0,0,0,0,0,8.89,6.67,0,0,0,0,2.22,0,0,0,0,0
16 MS1016,EFT,0.3597808,0.4297,180,IP180,49.22,"In six months, I am in the back yard putting up the pool. It is a hot summer day and some of the work, such as attaching the hose clamps for the filter, is tedious and makes me sweat. But I feel buoyed up by the temptation of a nice swim. I have a glass of ice water standing by, and from time to time I take a drink as I get through the work. Finally I start the hose running, and feel the cool water on my feet as the pool begins to fill.","In six months, I am in the back yard putting up the pool. It is a hot summer day and some of the work, such as attaching the hose clamps for the filter, is tedious and makes me sweat. But I feel buoyed up by the temptation of a nice swim. I have a glass of ice water standing by, and from time to time I take a drink as I get through the work. Finally I start the hose running, and feel the cool water on my feet as the pool begins to fill.",95,98.16,17.17,94.36,45.09,19,8.42,89.47,55.79,9.47,8.42,8.42,0,0,0,0,1.05,14.74,18.95,4.21,3.16,8.42,0,12.63,7.37,3.16,0,1.05,1.05,3.16,2.11,1.05,0,0,0,0,0,0,0,0,5.26,2.11,1.05,0,1.05,0,1.05,4.21,0,0,4.21,5.26,2.11,0,0,3.16,6.32,0,2.11,2.11,2.11,0,0,13.68,0,18.95,3.16,7.37,9.47,2.11,6.32,1.05,0,0,0,1.05,0,0,1.05,0,0,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0
115 MS1115,ERT,0.808274,0.808273973,365,IP365,80.46,About 288 hours I was at work and received an unexpectedsurprise gift. I was in my office alone signing in some packages when a tenant came downstairs and gave me a late Christmas card with $100 inside. I was surprised and so thankful for her thoughtfulness.,About 288 hours I was at work and received an unexpected surprise gift. I was in my office alone signing in some packages when a tenant came downstairs and gave me a late Christmas card with $100 inside. I was surprised and so thankful for her thoughtfulness.,47,66.74,33.52,96.52,99,15.67,21.28,87.23,51.06,12.77,12.77,10.64,0,0,2.13,0,0,6.38,14.89,6.38,6.38,10.64,0,10.64,10.64,0,2.13,4.26,2.13,10.64,8.51,2.13,0,0,2.13,6.38,0,0,2.13,0,2.13,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,2.13,0,2.13,0,0,0,10.64,2.13,0,23.4,4.26,10.64,10.64,4.26,0,2.13,0,2.13,0,0,0,0,0,0,0,8.51,6.38,0,0,0,0,0,0,0,0,0,2.13
124 MS1124,ERT,0.5105479,0.510547945,180,IP180,49.22,"About 144 hours ago I was eating lunch with my family. We ate at the Chinese Heffer, a Chinese buffet. I was trying sushi for the first time. I was with my wife, my son, and my two daughters. I was enjoying their company and enjoying trying new food.","About 144 hours ago I was eating lunch with my family. We ate at the Chinese Heffer, a Chinese buffet. I was trying sushi for the first time. I was with my wife, my son, and my two daughters. I was enjoying their company and enjoying trying new food.",49,57.33,50,89.63,91.78,9.8,12.24,89.8,48.98,20.41,20.41,16.33,2.04,0,0,2.04,0,6.12,10.2,8.16,2.04,4.08,0,16.33,2.04,0,0,6.12,0,4.08,4.08,0,0,0,0,14.29,8.16,0,4.08,2.04,4.08,0,0,0,4.08,0,0,0,0,0,0,10.2,0,0,0,10.2,12.24,6.12,6.12,0,0,0,12.24,0,0,12.24,0,2.04,10.2,2.04,2.04,2.04,0,0,0,0,0,0,0,0,0,16.33,10.2,6.12,0,0,0,0,0,0,0,0,0
81 MS1081,ERT,0.3776164,0.377616438,30,IP30,25.78,"About 24 hours ago, I was watching the premiere of Project Runway All Stars, taking some time to occasionally look up images of the Paris catacombs on the internet. I was laying on the couch, under an electric blanket, with my orange tabby, Orion, wedged between my left leg and the couch. When looking at images of the catacombs, I was thinking about a horror movie I'd recently enjoyed that had been set in that underground location.","About 24 hours ago, I was watching the premiere of Project Runway All Stars, taking some time to occasionally look up images of the Paris catacombs on the internet. I was laying on the couch, under an electric blanket, with my orange tabby, Orion, wedged between my left leg and the couch. When looking at images of the catacombs, I was thinking about a horror movie I'd recently enjoyed that had been set in that underground location.",77,96.18,21.79,89.63,25.77,25.67,20.78,81.82,48.05,10.39,7.79,7.79,0,0,0,0,2.6,10.39,18.18,7.79,3.9,2.6,0,16.88,2.6,1.3,1.3,1.3,2.6,2.6,1.3,1.3,1.3,0,0,0,0,0,0,0,5.19,1.3,0,0,2.6,1.3,0,7.79,7.79,0,0,1.3,1.3,0,0,0,3.9,0,0,2.6,1.3,0,9.09,1.3,0,19.48,0,10.39,9.09,1.3,1.3,2.6,0,0,0,0,0,0,0,0,0,14.29,3.9,9.09,0,0,0,0,0,0,1.3,0,0
24 MS1024,EFT,0.7319178,0.888675,365,IP365,0.78,"In about one year, I am in a conference center, taking a new continuing education class for my profession. I am watching the instructor work, and then following along on my partner who is on my massage table. My hands are on their sport's closed, and following the motions.","In about one year, I am in a conference center, taking a new continuing education class for my profession. I am watching the instructor work, and then following along on my partner who is on my massage table. My hands are on their sport clothes, and following the motions.",49,81.96,27.03,99,25.77,16.33,24.49,93.88,55.1,16.33,14.29,12.24,0,0,0,2.04,2.04,8.16,16.33,8.16,2.04,6.12,0,16.33,2.04,0,2.04,2.04,0,0,0,0,0,0,0,6.12,0,2.04,0,0,0,0,0,0,0,0,0,4.08,2.04,0,2.04,4.08,4.08,0,0,0,8.16,2.04,2.04,2.04,2.04,0,0,10.2,2.04,24.49,6.12,12.24,6.12,12.24,2.04,0,0,0,0,0,0,0,0,0,0,14.29,6.12,8.16,0,0,0,0,0,0,0,0,0
139 MS1139,ERT,0.5864932,0.586493151,30,IP30,89.84,"About 24 hours ago I was being brought home after spending time with my best friend Brenda. Brenda and I had taken a road trip to see my family in Jackson, Mississippi. Brenda decided to take her new car which was a lot of fun because on the way home we listened to a lot of beautiful and entertaining music and sang old songs together. I had a grand time riding in Brenda's car and I was happy I went on this road trip with her.","About 24 hours ago I was being brought home after spending time with my best friend Brenda. Brenda and I had taken a road trip to see my family in Jackson, Mississippi. Brenda decided to take her new car which was a lot of fun because on the way home we listened to a lot of beautiful and entertaining music and sang old songs together. I had a grand time riding in Brenda's car and I was happy I went on this road trip with her.",86,84.1,54.63,97.26,99,21.5,12.79,91.86,47.67,13.95,11.63,8.14,1.16,0,2.33,0,2.33,5.81,15.12,6.98,1.16,5.81,0,18.6,8.14,2.33,1.16,1.16,2.33,6.98,6.98,0,0,0,0,8.14,1.16,1.16,2.33,0,4.65,1.16,1.16,0,2.33,0,0,6.98,2.33,4.65,0,0,0,0,0,0,8.14,4.65,1.16,1.16,3.49,0,13.95,2.33,0,25.58,8.14,9.3,8.14,0,6.98,3.49,1.16,0,0,0,0,0,0,0,0,6.98,4.65,1.16,0,0,0,0,0,0,1.16,0,0
135 MS1135,ERT,0.7637534,0.763753425,180,IP180,88.28,"About 144 hours ago I was at the park by myself.I was at Greenhorn Park taking a walk around the lake.I was walking by myself, but I met up with many others also at the park walking their animals.I was having an enjoyable time as I walked, enjoying the day and the geese and ducks swimming in the lake.I was walking for health reasons, but I was enjoying the walking immensely.I was very relaxed while I was walking and enjoying the scennary.","About 144 hours ago I was at the park by myself.I was at Greenhorn Park taking a walk around the lake.I was walking by myself, but I met up with many others also at the park walking their animals.I was having an enjoyable time as I walked, enjoying the day and the geese and ducks swimming in the lake.I was walking for health reasons, but I was enjoying the walking immensely.I was very relaxed while I was walking and enjoying the scenery.",87,66.61,6.77,99,98.62,87,18.39,86.21,60.92,16.09,14.94,13.79,0,0,0,1.15,1.15,11.49,13.79,10.34,4.6,9.2,0,20.69,1.15,1.15,0,1.15,1.15,5.75,5.75,0,0,0,0,2.3,0,0,0,0,4.6,1.15,1.15,0,0,0,3.45,0,0,0,0,1.15,0,1.15,0,0,3.45,1.15,0,1.15,1.15,0,12.64,1.15,0,21.84,9.2,6.9,5.75,0,2.3,0,0,0,0,0,0,0,0,0,0,10.34,6.9,3.45,0,0,0,0,0,0,0,0,0
6 MS1006,EFT,0.6732603,0.4053,365,IP365,22.66,"In about a year, I am at an OhioState basketball game with my friend Jack at Nationwide Arena in Columbus.I am watching the lively action as the Buckeyes push the ball up and down the court. I am enjoying the game as they are playing well against another Big Ten team. I am excited and cheering along with Jack, rooting for our team to win.","In about a year, I am at an Ohio State basketball game with my friend Jack at Nationwide Arena in Columbus.I am watching the lively action as the Buckeyes push the ball up and down the court. I am enjoying the game as they are playing well against another Big Ten team. I am excited and cheering along with Jack, rooting for our team to win.",67,96.5,61.75,68.43,99,22.33,17.91,85.07,56.72,11.94,10.45,7.46,1.49,0,0,1.49,1.49,10.45,22.39,7.46,2.99,5.97,0,11.94,5.97,2.99,0,1.49,1.49,8.96,8.96,0,0,0,0,10.45,0,1.49,0,0,2.99,0,1.49,0,0,0,1.49,1.49,1.49,0,0,1.49,0,1.49,0,0,16.42,8.96,4.48,5.97,2.99,0,0,7.46,0,14.93,2.99,10.45,1.49,2.99,10.45,0,0,0,0,1.49,0,0,0,1.49,0,8.96,5.97,2.99,0,0,0,0,0,0,0,0,0
